name,position,location,Company,profile_link
Vicki Tung,Global Head Campus Recruiting,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAayOLUBaOeqal1X1WiUyJTxbL2YPNaF1hw,NAME_SEARCH,GQfA?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Andreza Barbosa,Head of Governance - Model Risk Management,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAKrmkBulLj2MTggkXDbnLSVgMVeic2vqg,NAME_SEARCH,lGAr?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Elisabeth Job Kozack,"Managing Director, Product & Partnerships Strategy - Digital Lending, Marcus by Goldman Sachs","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAATuBwB4Q1s7fJeush7A-NNXt8s0jjB7L8,NAME_SEARCH,C2qz?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Farah K.,"Associate, Asset Management","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAgviLABcbqa6IHWyzygzbav1Vfm0hu0hXU,NAME_SEARCH,2B1I?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Niamh W.,"Head of ESG Research, FI","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADPx9EBuyl0VeF85QVFnnpBvTaGk6KpZ_s,NAME_SEARCH,AUBt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Moses Song,"VP, Head of Digital Associate Experiences","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACBmGUBW6vIE8sa1FQj9_K1k19iY_TMF_A,NAME_SEARCH,PGbs?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rashid Abdalla,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAE5F6MBT66K3XjNa417sNph2tdM7zrhh34,NAME_SEARCH,6b5-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Stephanie Cohen,Chief Strategy Officer,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAzsJEBL59t2UV-YQSL0NOLQHDAT7umK3U,NAME_SEARCH,Ut1w?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rajiv Krishnakumar,Vice President in the R&D Engineering Team,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAahKnIBPgqHceLrlkgMBu9n-z0BUaK97Gc,NAME_SEARCH,wPQz?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Faisal Chowdhry,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABKi5oB9dSJgVROwDvdK6tDWyIN-WEwpuc,NAME_SEARCH,owUn?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ali Meli,Retired Partner,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAACfbQHIB3--tifC-23tDIQ2iqReSDdnohqM,NAME_SEARCH,0_LN?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Murad Nayal,"Managing Director, Global Head of Risk Informatics","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAB90YMBd3Wg6xkj2uKU5PyXvIe0r3yiYos,NAME_SEARCH,WpCq?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Moritz Jobke,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAANXZoBkfDjcftqXbvRc9Uz0cmApDKMBGU,NAME_SEARCH,270a?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Nathaniel Hatten,Vice President - IT Audit - Risk Technology,Dallas-Fort Worth Metroplex,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAG09OsBm1VQFFzFF5U_wDXoYGBWXxA8oME,NAME_SEARCH,M5bv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alexandre Flavier,Goldman Sachs Growth & Private Equity,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAPn5lgBysVSpZO6CWRV-O0fdK_TUxGz_3s,NAME_SEARCH,YyzI?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
R. Martin Chavez,Senior Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAERfEBoG_8FQgYHhEJvQvwnI1aS3EjzZg,NAME_SEARCH,zlgG?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Michael Marsh,Partner,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAH0BeQBCz_YzSQa2HnIqmd2iPOm57rSwAE,NAME_SEARCH,z5HG?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Michele Titi-Cappelli,Partner,"London, England, United Kingdom",Goldman Sachs Principal Investment Area,"https://www.linkedin.com/sales/people/ACwAAAARwQ8BeV0iFbkoCmUdgvwzLlsKZOEoY7c,NAME_SEARCH,6Tjv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rob Pulford,Partner,United States,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAYuXlQBbtelHNBae72GiQXSiDTzPlqYggc,NAME_SEARCH,3zPh?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Andrew Weber,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADzqFIBMf2AFmrlcn98tvxmWVL_xMBhSjM,NAME_SEARCH,Hbry?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Majid Sebti,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAL-KdABchTDZJ7W8S5q2wya2SdRAUOVwGo,NAME_SEARCH,E75f?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Vijay Bala,Vice President - Senior Engineer (Information Security & Risk Management),"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKK_fUBAEGw1qzypgqMUIZ9UXh5eHM5DLk,NAME_SEARCH,oFwk?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
TJ Lim,Head of Digital Product - Global Private Wealth Management,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABgJj4BMpsGV_UxG2me67JkxMsE-oy9LmU,NAME_SEARCH,UslV?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rajeev K Verma,Vice President - Agile Delivery & Transformation,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGmFgEBzYlpk813UqmVjGzckHP2ebQ7Dr8,NAME_SEARCH,wzcN?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Prerak Vohra,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAMn8EYBuiuDDuNMXscFLB4Uqke4_zrB1hI,NAME_SEARCH,kYX_?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Luc Teboul,Managing Director - Transaction Banking - Application Development Engineering,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACuaoYByEfZGXUjf5dSX4oBOiDH0EVUYfs,NAME_SEARCH,w9nZ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jade Mandel,"Vice President, Venture Capital and Growth Equity (GS Growth)","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAWZIgUB8aV7clZlhCBrX3PpVbBggkx84NI,NAME_SEARCH,71qN?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tavis Cannell,"Co-Head Europe, MBD Real Estate","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAABd1EBOBWplQ9T1G6aF8_7QIoSOs6RsrA,NAME_SEARCH,k5s7?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Reyna Pacheco,Analyst | Equity Derivatives,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAA3D_jcB2sawPfWat6ctLDym1J1aIJ07YvI,NAME_SEARCH,Ikh4?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Charles Elkan,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAQYxUB_YZzox4mVad73Qgoik2mt-gtWRY,NAME_SEARCH,PkQf?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sumeya Ibrahim,Diversity Relationship Manager - EMEA - Experienced Hire Recruitment Team (Via ADP RPO),"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAE1xNIBMWJhW_NRcL48xV66qcZ7AZK03mQ,NAME_SEARCH,-xr4?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Padraig O'Connor,Vice President/Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAfOOV0BW8SijyGW2Td6QcakZNbjs6XQn_g,NAME_SEARCH,XzJv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Matt O'Neill,Managing Director - Strategic Investments & Partnerships,"Hong Kong, Hong Kong SAR",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABCh80B54H40Cfa957UtnZcPNDo6vjrOT0,NAME_SEARCH,-8sU?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Phil Venables,Board Director - Goldman Sachs Bank,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAD3xwBJ6IiP7TdJZ9_DKlAkvzc7L0GxuQ,NAME_SEARCH,70Nx?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Yun Zhang,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAANoGGQBcVpP2s352YMt8dn4C2eJGiMXirY,NAME_SEARCH,UFlV?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Earl Hunt,Partner,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALQJp0BF4tKtXeuR51hYd2XdcrR5ePKBMg,NAME_SEARCH,-684?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Carly B.,"Consumer Digital Finance, VP of Change Management and Continuous Improvement","Salt Lake City, Utah, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAyAtZgBdJhFtD0rHpegr-IBTzgof5RbG0Y,NAME_SEARCH,jhkt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Richard Manley,Partner,Greater Toronto Area Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAB7s0EBeM8bGhVYZDmNYksVnrh0Gj6MYv0,NAME_SEARCH,98xE?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Florian P. Meyer, LL.M.",Executive Director,"Frankfurt, Hesse, Germany",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAkSpukBXTBM3AqiynfDPCtCiiZfyaP00eU,NAME_SEARCH,SsY2?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jon Unger,"Senior Engineer, Vice President","Dallas, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAkvYoBpW5VErn7edtuQhhKD74TtiFxj1M,NAME_SEARCH,eXl5?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tim Verheyden,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAeHtpEBYv9i4q8bNQb64zFzren9QDTkeCc,NAME_SEARCH,9qxq?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Lin Yue,"Executive Director, Goldman Sachs Asset Management","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADvNw4BCZl4R4TUXuM_iekUbZtCZgwI5Zw,NAME_SEARCH,-ZBN?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Barbara Herndon,VP - Strategic Sourcing (Technology),New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAg6ikUBzwjdxPmQ6N7Ph_SxBD0_LhETGfA,NAME_SEARCH,59gb?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ashwin Gupta,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEsafkB2GfscZXqJ7SZzPB90WFeo-4YwC0,NAME_SEARCH,u9Nf?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alex Cohen,"Vice President, Customer Acquisition and Brand, Marcus by Goldman Sachs",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAkZ5YB_gIHQUt5YehV0j3l411HRCLWzrM,NAME_SEARCH,2CXD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Christian Garcia Scheer,VP - Head of Creative Services,"Chicago, Illinois, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAJmp7UBLYwcA4ClWHoa_6auhjL2zg913r4,NAME_SEARCH,AV7S?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jemma Wolfe,Launch With GS,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAObifcB7Bw97Q_mTJpeBxCinTC_ySVq29E,NAME_SEARCH,oriQ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Grégoire Louisy,Special Situations Group - Associate,United Kingdom,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAlH0RcBQ4L0lftr6yWuaaOPaBzh1Tp89ZQ,NAME_SEARCH,sAtM?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dharmpal Patra (DP),Vice President Global Procurement,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKpuc0Bhs9CdwOCgE7b5sHrws6SNt5j3Lk,NAME_SEARCH,IIt3?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Chris T.,"Vice President, Management and Strategy Group, SDC",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACJWP8B25fuXXqc-_1P7udQnFex-_1zmcc,NAME_SEARCH,3313?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Hasan A. Malik,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAZ8IukBpFwTF1X1Qko7gr7TF7HJvRpfVZ4,NAME_SEARCH,jemG?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kene Ejikeme,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABZkGkB1Kg4JH2pj35NZ3dBqNeRywIjHy4,NAME_SEARCH,98LM?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Marco Quirico,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAFFekBIlMdwrkiV-xukMfHhfNmLP7NM_8,NAME_SEARCH,N-Ud?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Gopi Tammana,"Managing Director, Chief credit officer, Marcus by Goldman Sachs",Greater Philadelphia,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABfk1EB1rz7swKs_bv0mBT0-oIuw33XMvY,NAME_SEARCH,4nu6?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Abhinav Anand,"Managing Director - Head of Lending, Marcus by Goldman Sachs",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACV93QB-zGBwB_V4Yc8x9dzvuG4NOf-crE,NAME_SEARCH,xSKU?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Katherine Tait,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAa8T4IBtluWxwkStFeL5VQeewk5bQnjAZg,NAME_SEARCH,6aY4?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Bhanu Birla,Executive Director - Business Finance and Spend Management (Transformation Team),"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKmSsQBFkpgM60fsjFPv7Uy8Gdlyxq-2aU,NAME_SEARCH,ZF8X?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Steven Weiss,Managing Director Investment Banking,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAbs9R8Be6Fy22lTbKDA8-EdOZN7upW8HMk,NAME_SEARCH,z09K?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Joanne Hannaford,Head of EMEA Technology & Global Head of Quality Assurance Engineering,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFQJkUB-sIrqFhlqwjcVsH8ar1S3cZxWiE,NAME_SEARCH,w6pn?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rivka Gewirtz Little,"Vice President, Fraud Operations & Strategy","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEIUJ0B3HobdJ7WkMq3AupEaTWKyPPM-VE,NAME_SEARCH,2ukx?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mary Mosope Adeyemi,Executive Director - Credit Risk Management,United Kingdom,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALRIBEBjo5bvP0AWq-9rWeM4_vZBb8QtN8,NAME_SEARCH,PzyD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Olga (Lozovskaya) Kaplan,Private Equity Investor (GS Growth),"San Francisco, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGcW8kBXHQCBYK9pRHpb9KjEiwEWgc6utQ,NAME_SEARCH,Srxg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Piers Bramhall,Executive Director - EMEA Head of Revenue & Global Markets - Experienced Hire Recruiting,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAF_rDEBaqxa8uhLXosFolCP0nBzQr-F-2w,NAME_SEARCH,ljJZ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Pietro Di Marco,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAghWv4BrD1VjfuDnR74mZUQF0cNl8vCjGQ,NAME_SEARCH,ca6y?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Syed T Husain,Vice President/Senior Engineer,"Irving, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAADwvIBGRUpPQI-EZR2jllw_t80Yiw_o3I,NAME_SEARCH,vxAP?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tanguy Croguennoc,M&A Associate,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAW4HJYB1ms3_OTEoBe13HKMecLDq75TPWI,NAME_SEARCH,P-YL?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Trent Wilkins,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAneeGEBNR_6dHenJ1jsbX2X67knLSHqnwo,NAME_SEARCH,fbuM?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Samantha Santos,"Vice President, Diversity & Inclusion",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACeipEBwxAJp5tzdSdyDO2ZgNHu5ruCasw,NAME_SEARCH,v7h8?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Saumya Aggarwal,"Vice President - Americas Liquidity Solutions Sales, Goldman Sachs Asset Management",San Francisco Bay Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAA-BNF4BDt1W_0t5nGfVw5HAyKQ4zDTz8uk,NAME_SEARCH,cVtf?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Huw Pill,Chief European Economist,Frankfurt Rhine-Main Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACuW-oBFpMFot-I-BSo3_427l8ejcNsjOU,NAME_SEARCH,IPz_?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Karan Chopra,"SVP, Head Of Digital- Consumer Insurance & Wealth Management","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAHdNGcBtVx3pAi5W39IzMd6ZXpEIYC1P48,NAME_SEARCH,ALpR?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Robert Fuentes,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEt8eMBSxlCcvzNH2vRLwHvh4_KOv_i4Go,NAME_SEARCH,6vyy?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Vishal Arora,Vice President,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAOsoYUBPxYyR8uXOxqafbmGYa_gDqzQ7yE,NAME_SEARCH,fqw5?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Michael D. Rappa,Vice President,"DuPage County, Illinois, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAxkbK8B9JcDWDhcyROakEuEQgGUKkmOdZI,NAME_SEARCH,jhkJ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Hugh Lawson,"Partner, Global Head of ESG & Impact and Institutional Client Strategy, Goldman Sachs Asset Mgmt.",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAA_VKWABwxrxw-CpbzpJjcr9hbuqGlYtwUE,NAME_SEARCH,USW8?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ashish Shah,"Co-CIO Fixed Income, Head of Corporate Credit","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAAek8B_x8HxrTYxWTxL44E3UiW83V_4MQ,NAME_SEARCH,cmrt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
David Bicarregui,International Treasurer,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAlOgfoBFtkCukWE5ZfPqAAG-nXENnfTGM8,NAME_SEARCH,GQ_T?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dr Andrew McLennan,"Managing Director | Head of Engineering for EMEA, Merchant Banking Division","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKlbKkBJ_lUTgFQpS1yKV7VYiNxiLT5ErU,NAME_SEARCH,z4xw?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Erika Irish Brown (she/her/hers),Chief Diversity Officer,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABOvjkB_GV1YbNJsJ6UWSRbv7m3neelOpo,NAME_SEARCH,0RJT?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Stefan Bollinger 博思帆,Co-Head of Private Wealth Management EMEA,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAA5DUsBoLcnOmflpUhOkXabeoOuE4hFG8U,NAME_SEARCH,dcUz?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Heath Terry,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAChLRkBgZkaJ-fd6chIc_3WRNaZ3WBswfQ,NAME_SEARCH,c8Ha?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Eva Brunner,Institutional & Third Party Distribution Sales / Investor Relations,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAvph0gBVZi23Dt7d4Jw381CzMpEYNA1MD8,NAME_SEARCH,Z2dj?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alexander Bardack,Vice President,"The Randstad, Netherlands",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAOJEhwBo5hjZiobLuZcozSJKi1tBpmk5js,NAME_SEARCH,Wj8l?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Brian Pope,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAClvsMB6NLiEIBvgj3ZO1N7ISbHMsMnfpw,NAME_SEARCH,vB5z?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tobi Rufus,"Executive Director & Senior Counsel, Legal Division","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAQHs14BK1uRuXJP9yM7g_O4mDHeU2JVefA,NAME_SEARCH,ZCmc?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Seth R.,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGTr8sBCWpSTWn421YGyADupTp0dVooibA,NAME_SEARCH,zGLj?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Nick Baltas,"Managing Director, Head of R&D and XA Portfolio Construction - Systematic Trading Strategies (STS)","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAIBlr0B2uB-RyIl3R1mxyUbp0p2PGO2SI0,NAME_SEARCH,D4G8?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
