name,position,location,Company,profile_link
Daniela Costa,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAATp80BUj4CSmz6eI-Oli2JmI7zcqWtaAw,NAME_SEARCH,ZemI?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Darren Allaway,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAIq0EBBjbUJvjKQST2GZzfbO5mIwZa8aU,NAME_SEARCH,BU9o?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dustin Godevais,"Vice President, Consumer Technology, Marcus by Goldman Sachs","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAXrpuIBe61nOQZrAYmjtF9Sb1gLLCL9JsY,NAME_SEARCH,VuUa?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Andy Boura,SE Executive Director: Global Head of App Sec | EMEA Head of Tech Risk; Consumer Banking,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAASuy5MB4lVlMFN-v62k46CsRC9VkOA6ybQ,NAME_SEARCH,rsYe?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Abbi McMillan,Graduate Recruiting - Investment Banking Division,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAm5wJQBD1YxRzkO7DPXw1QQ7I0VQAraHPQ,NAME_SEARCH,cfsg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Wael Younan,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAmNcUBD8yHNYrqsgzGPm5dqJ27zZh960Y,NAME_SEARCH,93OI?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Brian Steele,Managing Director,"Port Washington, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAARWklABX7kJuDIw_smMGCUrEpIBNV67CMU,NAME_SEARCH,ofTb?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Stuart Bird,Executive Director - Global Liquidity Sales,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALVpocB3YPmDfEaOKE26TcU-8Zxf4onmNw,NAME_SEARCH,ZsDb?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sanjay Gosalia,X,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAW4kUBOWw7CeiHERXTLeBhBGyolSsev7A,NAME_SEARCH,jEW5?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kirk Lepke,"Executive Director, GS Growth","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAG5734ByDAQ-cPydbw4WNkDPd4gM9z1lzQ,NAME_SEARCH,tb94?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jorge Alcover,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABmbggB0y0gKoyKQR5OHJPXG5hr3M_qH-I,NAME_SEARCH,7X05?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Smita Menon (she),"Head - Diversity & Inclusion, Learning & Engagement, India","Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABQFi8B5_ssHbCKqKTj0ozKJPbuZCkI5g4,NAME_SEARCH,mE0j?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
John Giannuzzi,Vice President - Merchant Banking Division,"San Francisco, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAw7qfsB1eH3wl0wyHTX79Pui2U1sapxfIM,NAME_SEARCH,5hcA?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sarah Card,Managing Director,"West Midlands, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAATT_AoBEsruOwAjTWGW-ljB5hDUb4pbz_Q,NAME_SEARCH,_r3T?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Morgan Gerlak,Investor - GS Growth,"San Francisco, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAjKPlUBROImBMTv-15J-ToUzES-lKa_Y7Y,NAME_SEARCH,DObn?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Paul Albright,Operating Partner,"Los Altos, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACWmQwBDG28_GNlpcoJrQ2L7MPi147_cus,NAME_SEARCH,59ya?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Irfan Baris Rendeci,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACu3gEBvUfxQphC9yYZyaFHC9iAJalsF1Q,NAME_SEARCH,eKWS?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Asahi Pompey,Global Head of Corporate Engagement & President of the Goldman Sachs Foundation,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAslfqUBLqH9qYhAN4yJ_viPMdlnmdBkaI4,NAME_SEARCH,KVcn?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
O. Ediz Ozkaya,"Head of Machine Learning Strats, Co-Head of Systematic Quant Strats","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAboMUBBJIf26-0fRr0P6XwujqgLmajKgg,NAME_SEARCH,O8Rs?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Valerie Kerres,Private Equity Associate,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABCBdIQBlhLMhBJqVKjcs-8TAc21-Q5l-k0,NAME_SEARCH,ZiXy?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alexander Channing,"Executive Director, Quant Strategist",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAX99wIBWOsbb8P4ubh4c65O53VuQiFcQyE,NAME_SEARCH,q-Br?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Christian Resch,"Managing Director, GS Growth, Merchant Banking Division","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAmjY2YBg3HZufklbK1kkRUu80nAGrkkVqc,NAME_SEARCH,Oqwv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Nameer Siddiqui,Global Co-Head of Energy Investment Banking,"Houston, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAANde_8B65Ws7PNlIOmg1UlrtGzn_XpsU70,NAME_SEARCH,SNWx?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alex Porcelain,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAXCjJEBkh701hTeQdw51p4MKVaROFnjcT0,NAME_SEARCH,slS0?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
William Littleton,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAHgF_EBq5C1QmiPH5fCLLkFn_izDbd4XbU,NAME_SEARCH,VnJ1?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mark Ivezaj,COO-Global Markets Division Sustainable Solutions Council/ Equities Structuring & Sales Strats,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAgYYucBfIKWAEnG6z_sxz8exR023F5Q8Kw,NAME_SEARCH,NUHl?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Matt Turk,Machine Learning Strat (Quant Analyst),"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABXje1UBowAOJDiNpxIYzbjIG0OPRcwUJf8,NAME_SEARCH,pygA?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Pete Tiwari,"Head of Digital Product Management, Deposits, Marcus by Goldman Sachs",Greater Chicago Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABkRrwBae9IXGWOjZ4w2I2GYTlOaJpGQZs,NAME_SEARCH,lvwv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Victoria Drewsen,"Associate, Firmwide Strategy",United Kingdom,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAvfbFUB_zUOv44kk0roUNiB_75wqdiZEzg,NAME_SEARCH,l8dm?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Marjie Howie,"Vice President - Global Head, Federation Recruiting",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEAK_cBY_A5F62nESVb_YGUQQLcYbtOhl0,NAME_SEARCH,oL5f?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Lori Pomerantz,"Portfolio Manager, GSAM Leveraged Finance","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAZSo8BnIU11mvA0dHCDjsqVSZPfL_Fyf0,NAME_SEARCH,Zakk?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Elaine Rene,"Managing Director, Credit Risk","Dallas, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAA46HTMBzW0PGNMbWmNZM9831LShe2vdQ7Q,NAME_SEARCH,jXi-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dustin Cohn,Head of Brand and Marketing: Consumer and Investment Management,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACIAl4BdS4-3uQwx3-Mthu8vU4CPGpD5CI,NAME_SEARCH,f6jE?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alberto Gandolfi,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGxTmEBvWwkUt0u0UOd3l0alRJkn_JjZp4,NAME_SEARCH,w5tA?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Graig Suvannavejh, PhD",Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAKqyIBW98V4d2nUTfeuATkNfKcrIdKb0M,NAME_SEARCH,Ft2-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
John Willian,Advisory Director,"Short Hills, New Jersey, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAWhDjkB9jP1Ky2SMpVfDJNAcbGGVqsA_bo,NAME_SEARCH,I_24?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Maeve DuVally,"Managing Director, Corporate Communications",United States,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAU6DGoBFOpxtLpmLgfEFInyFgadlVisfFo,NAME_SEARCH,3-2m?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sachin Mohindra,Executive Director,"Woodham, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAnRrjkBJL7qfzBxrSRG-WhL_9x_RhzKzZE,NAME_SEARCH,1Mey?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Farshid Asl,Partner,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACvgLABLjnWuctoc7TtrKuq49zJoBDI7m4,NAME_SEARCH,lWKQ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mihir Lal,Private Equity Investment Professional,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFHR84Bf74hP--IKdVIh1-x-nY6OaQQij0,NAME_SEARCH,Fr2-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Scott Young,"Managing Dir-Strategy, M&A, Partnership",United States,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABcuswB1QcZ6-W8IgWnFDYHdeIPcv0y20E,NAME_SEARCH,cqwM?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Harry Naysmith,Managing Director,Singapore,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAawh1QBAprfLxP5eAkBLtH_SMiaWYf9mxU,NAME_SEARCH,B2mi?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ram Sundaram,Partner,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAQdBOkB97NswUR2xymP1JaVI9L1ttbhhaY,NAME_SEARCH,FWJy?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Andrew E. Wolff,"Global Co-Head and Head of International, Merchant Banking Division","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADFMsgB1eW7nYOeutkDKASbK3MhNlbH2v4,NAME_SEARCH,Jc5C?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Claire Zhang,Investment Banking Associate,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAlquxwBOmR_UPm35KUKdywoe5ib2RNOT0g,NAME_SEARCH,epTQ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Zeynep Yenel,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABLpUWUBVKmJs-M0K7F2fB4gyqSi4FGkZfA,NAME_SEARCH,aUT3?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sami Ahmad,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAIOx2UBp_rS6InAereGZte3xZMcwtCUXiA,NAME_SEARCH,_Jdi?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Erik Tregaard,"Managing Director, Investment Banking Division","Stockholm County, Sweden",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAC73fUBsK4w6dODITI3rpXzhttItHbkvj8,NAME_SEARCH,nNRg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Chanel Dennis,Vice President,"Brooklyn, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAATRj3QB1Scj61iDAL_aULuI5FTO8tAEHxQ,NAME_SEARCH,lGiY?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Georgina Iwamoto,Equity Research Analyst,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAASV0_wB-OM2p9ZjuYNoODIY8gHnoYI14y0,NAME_SEARCH,GfOg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Christoph Uloth,"APAC Head DC, Resiliency, Risk, China Infra & Cross Engineering projects",Singapore,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAHOggBcOGZydgYxEt6TqIY0EydRSID00k,NAME_SEARCH,-fPS?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rami Rankoussi,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKXzVMBLYsQ3Vg1hw0qtYIdT8_2C-wyQys,NAME_SEARCH,_0Ds?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alexander Lippert,"Vice President, GS Growth","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAlpQ_gB8j2fMjQdtofrKYrR32JkgMXC_xU,NAME_SEARCH,EKew?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tomer Sharon,"Managing Director, Head of User Research & Metrics",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAbO-oBkToSoHRH2mWaIw7ikMn2HW98rFk,NAME_SEARCH,G-Fr?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Eric Brothers,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABR4kcBqmzVLKfd70wvmHgTWes5PLbJQ7w,NAME_SEARCH,sktQ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Hardeep Kundan,"Vice President, Diversity Recruitment, Strategy & Management","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAcW4PsBCBcwcI8JHFGoJTw8IIEyHJDGDBw,NAME_SEARCH,BiTv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Saurabh Mishra,Vice President Senior Engineer,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAF1PIMB0oN9UnuhGpW4IBZlCiJ8-cOOvVk,NAME_SEARCH,PPup?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Anna Phillips,"Head of Business Development, Goldman Sachs Investment Partners",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAQPxA8Bvgm3rpf3kO6VCC0kg4jbPFSkpd8,NAME_SEARCH,dGX6?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Karen Levin,Vice President - Consumer & Retail,"DuPage County, Illinois, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAC0GWwBYR2k03sL7e6XIcn84yWtDt5W1Ik,NAME_SEARCH,JVNW?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Gaurav Parashar,Trader,"Jaipur Metro Rail Corporation, Rajasthan, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFezaIBOmFbmjgQoFg8y4lVwHsh22iRN1Y,NAME_SEARCH,VYy6?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
George Lee,Co-Chief Information Officer,"San Francisco, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAADBNkB1sgfeKSRB6AX7C2Yl39870rHDho,NAME_SEARCH,n476?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Salman Niaz,MD | Senior PM & Head Asian Credit,Singapore,Goldman Sachs Asset Management,"https://www.linkedin.com/sales/people/ACwAAAADc6gBolWZ1yEshjb9AWWgmEWR9IIGE5Q,NAME_SEARCH,P_uU?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Gasim G.,Global Markets Strats Analyst,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABQyNo0B7Dm0CG90Y0mkx_5ddE4VX_SPBFY,NAME_SEARCH,JUYg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dominic Hum,Regional Head of Global Markets Mgmt & Strategy,Dallas-Fort Worth Metroplex,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEC2N0B278nBiI_xts3mODBxvI3WNYLa1E,NAME_SEARCH,2Jfk?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sajid Ahmed,Head of Technology & Head of Platform Engineering Asia Pacific,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABW73IBx8J83jAp9te_lRoRj9qQdPFTbYU,NAME_SEARCH,iwaW?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Sarah-Marie Martin,Partner Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAD0ukcB4tiu2Zra-EcO6SvwAg9GL819kZI,NAME_SEARCH,J8wU?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Derek Lau,Special Situations Group,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAiAohoBkOpJwjXAdQxz0r2h8NlPgf_caoA,NAME_SEARCH,wvRx?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Adam Dell,Partner,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAEPkABlxLH-QMhBX7tQzUmIOGePFehbBQ,NAME_SEARCH,9_8-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mia D'Angelo,"Associate, Talent Acquisition",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAyDnjMB8FYGbPKwG_BAVS37fQAJrtYSKfE,NAME_SEARCH,1QTq?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Will Chen,"Managing Director, Principal Investment Area",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACjBoAB6H5GYdRGcwZDgJMHfsWIie7aw7A,NAME_SEARCH,4JiS?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Nasir Khan, CFA, FRM","Director, Financial Risk Management",Dallas-Fort Worth Metroplex,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAPc3poBYNWBz7KsCvPC0ZlT15_rTbvcvl8,NAME_SEARCH,N5q9?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Raymond Holmes,VP - Electronic Trading,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABg00YsBBLHNENBydc__rwvNFZTRMl6XPyc,NAME_SEARCH,UqkC?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Carey (Baker) Halio,Chief Executive Officer of GS Bank USA and Deputy Treasurer of Goldman Sachs,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAB1pNkBfQxH--Omg1GVgEvGGGsrXFAH7a8,NAME_SEARCH,tLBq?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kimberly Foster,Launch With GS,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAXtijIBCL-enuvEAK0INBUtzOmh12kHry0,NAME_SEARCH,0Xpj?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
John Fathers,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAR9MEBUiJdVejzNgQVdrugsSIDwy56VSU,NAME_SEARCH,sGP3?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Yariv Ten-Ami,Vice President - Head of Consumer Financial Crime Compliance Technology Strategy,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADPGBEB-DO7DsFBRWBgcGrSDx5P6Z3K1J8,NAME_SEARCH,vofO?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Seth Goodman,Business Development and Strategic Partnerships,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABBqtoBwpbnzBH7uC9GRfI8ZKQlFMzMJVY,NAME_SEARCH,tnux?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Soumya Rajamani,Vice President,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAWoPB4BOM0P0-J03lFrYOBPcRpwwdVsqJ0,NAME_SEARCH,zcFQ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Adam Raffa,Institutional Escrow Sales| Investment Banking Division,Miami Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAP5M-EBbmyCgSGVRVI3yisbe_CAGTI6jy4,NAME_SEARCH,drvA?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Raphaël Edberg,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAUbcCkB2h6xdXf3tPWlkxItPV90n1noaVk,NAME_SEARCH,Li9Z?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Anna Urbanska,Vice President / Executive Director,"Warsaw, Mazowieckie, Poland",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAv4bB8BToBl1quf22xR5pRY1pKIVkji9bI,NAME_SEARCH,Px5R?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
David Lowy,"Vice President, Product Strategy & Marketing, Marcus by Goldman Sachs","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAANI58BGs-uCZ7h64sw4wC7jRhLbnRY11Y,NAME_SEARCH,imDg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Olu Malomo,Vice President - Payments & Reconciliations,"Salt Lake City, Utah, United States",Marcus by Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACDIeIBLEGGlGhIcy40X8al1ts15b43ikQ,NAME_SEARCH,fBfq?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kristin Olson,"Partner, Alternative Capital Markets","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAD2P3ABfLfM9vkgHIHJVkffIAEvaKSowzk,NAME_SEARCH,_rAz?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Lilia Kyuchukova, ACA",Associate Investment Banking (TMT),"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAATo6uoBl3B0Geku5JMFWnltn5VjvaEfO4I,NAME_SEARCH,5pXe?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Anisha Bhardwaj, CFA",Investment Banking Summer Associate,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAnOztEB0tQGI6OyRcRNnZuE_ovQms3HkQQ,NAME_SEARCH,ZD-e?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Eileen Wang,Investment Banking Analyst,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABNN8yIBb4vaZk6OUdxZOigy90Mcq-RFOCE,NAME_SEARCH,qXNc?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Michael Bruun,Partner,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAg_uYBuUAcjhJTmsprd4jPdOnvImpOKoc,NAME_SEARCH,Obt6?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
