name,position,location,Company,profile_link
Eva Maria Wiecko,Managing Director,"Frankfurt, Hesse, Germany",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACG6BUB9Lav_4iL2jvloR_xohLBes8xz9c,NAME_SEARCH,MjL9?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kostas Mamalis,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFr7lgBb5NeOye1NfUp637hq3NfLRK547k,NAME_SEARCH,9byg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Annabel Downs,Small Business Development Volunteer,"London, England, United Kingdom","Goldman Sachs - 10,000 Small Businesses U.K.","https://www.linkedin.com/sales/people/ACwAAArURXgB5XlJQ3dL9C_jtnYlBsvrB2PuDXw,NAME_SEARCH,-usE?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Andrew W. Smith, CFA",Vice President,Greater Tampa Bay Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAJ6S90BdjjI_seo0ZbdbbjszmTQz4QUVZg,NAME_SEARCH,Byex?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Desmond Hu,Executive Director,Singapore,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAV5XdIBDxVg_rhOYflxgZxh9yXp_CTcsNA,NAME_SEARCH,cpQ-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Erika Coleman,"Vice President, Talent Acquisition",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEDD1MBl1ybFEUbEHCvQoG1fdhQmpJ-IHc,NAME_SEARCH,a8mX?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Antoine de Guillenchmidt,Managing Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAACO1bLwBzmsVIHA-CGuG_IzK5ssGmbMeD9c,NAME_SEARCH,8lu5?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Brian Essex, CFA",Equity Analyst,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACMGv0BI7tK1Ai0eX2j1Vm5m1G4c9Exdgw,NAME_SEARCH,9WVG?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rob Cochran,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAg7GN0B3OzBid2ALT73SlW6yMKUElWFakI,NAME_SEARCH,Rnkt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
David Gross,Vice President - Convertible Bond Sales,"Chicago, Illinois, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAASmdRgBlmtII5pfZWAJmwuyE3kAh4eEkDU,NAME_SEARCH,Ck45?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Vicky Ledda,"Managing Director, Investment Research Engineering","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAd1WxQB8NNnOVl9TVOLQLcZ07TNOQiXxb0,NAME_SEARCH,znhp?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kunal Shah,Partner,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAnpBToBZ2tBe6vjPCbXOOTx8UpW6dVt8JE,NAME_SEARCH,zT_v?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Leke Osinubi,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAF2UF4Bu7m8wXQwQMU0cOcn9IisJI6_jCM,NAME_SEARCH,IJkW?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Richard J. Spencer,Partner,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAOHCxABLhUJJGLJVQ1LNvm2EwYzhm-TSsI,NAME_SEARCH,k6A8?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
James Seddon,Vice President,"Tokyo, Tokyo, Japan",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABM0Ks0By2TQj_Lt1N41S8XrySTj8nh-orQ,NAME_SEARCH,ChfC?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Andy Ozment,"Chief Information Security Officer (CISO), Managing Director, and Partner",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAwUccBBLU-qRAOYnSkZzQSOA54VVpwvdM,NAME_SEARCH,My5e?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Agostina Pechi,Managing Director - Head of EM and Commodities Local Sales and Latin America Structured Credit Sales,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAB8Ze4AB9CulIweLALfydRp9ZP7bJbZ7L1k,NAME_SEARCH,q5tD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Keshav R. Manjrekar,Senior Analyst | Data Strategy & Reporting | Consumer Banking,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABC5HosB9jvj0KdOxEDDGGueO8ZBcv5MXo4,NAME_SEARCH,WVtz?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Hemal Thaker,"Executive Director, Global Video Games & eSports Investment Banking (TMT)",San Francisco Bay Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAJAv20BgyYpSurBNgpy0VOAnP8ZH1kg18E,NAME_SEARCH,eAW3?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Janine Glasenberg,Vice President - EMEA Graduate Recruiting Manager,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAHU-KkB4uB35lHXJAzyG3sgpSmaLS_HBok,NAME_SEARCH,j1_L?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Natalie Fratto,"Vice President, Firmwide Strategy, Launch With GS","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALH6n8BoNib2hvByk0zOnBNhX9I5wzAmTk,NAME_SEARCH,g6Ak?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Katie Koch,Co-Head of Fundamental Equity for Goldman Sachs Asset Management (GSAM),"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAB8iXRIBTT6oXSLT0_qpYLXIX9BqpMTpkG0,NAME_SEARCH,6jCg?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tim Morris,Vice President - Critical Systems Operations (CSO) - Corporate and Workplace Solutions (CWS),"Bronxville, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADf9VQB6Un0XiIA3RzDd34k-wBORnl40Xo,NAME_SEARCH,SXBs?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Brian Robinson,Head Of Prime Brokerage Sales Americas,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAC9muP4BRHnBTEUFh7T0Cbi_th8rSDfyIvE,NAME_SEARCH,QfHh?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Holly Brazier,Analyst,"Weybridge, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAACDP0GoBrSoH8JwzOWRAYgCq-etNohKGTGw,NAME_SEARCH,cqNR?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Simon Ling,"Executive Director, Human Capital Management","Hong Kong, Hong Kong SAR",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAJmDo0BtaFCOM8gX6OBVQCH8-qyq2E-u-I,NAME_SEARCH,3-dW?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Lisa Williams,Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAMh-0B7BAVORd_0qmKNQGnklOAgigGoyw,NAME_SEARCH,KL6E?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Zheng ""Roger"" Li",Machine Learning Engineer and Vice President,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALIqzEB1nZU3YNzwZE9ZVrK3WfTKLAF6es,NAME_SEARCH,MAl7?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rajat Sood,Managing Director,"Mumbai, Maharashtra, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAG-kGABrAU025q4_bTRgMf3ewvRGDXxmZc,NAME_SEARCH,ci39?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Santhosh Bajjuri,Vice President,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABS_tVUBrvhWDqXxht5W1zdd0D7EFLjI9_s,NAME_SEARCH,kVzv?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Maria Cristina Sampaulo (she/her/hers),Diversity & Inclusion and Diversity Recruiting Lead for Latin America,Brazil,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAM7HAAB13IJY0WxUeWQJGngyyZGGxyLVSQ,NAME_SEARCH,RD7i?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jerome de Robillard,"Senior Recruiter, Marcus, Finance, Risk, Internal Audit & Operations (EMEA - ADP)","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABZJwogBWoiS8E6uNymyZa27zObcXSUZNVY,NAME_SEARCH,O3X7?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alex Blanchard,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFo0ncBcpQMptRM62GO2nycujLbPgjjQtQ,NAME_SEARCH,kZ-L?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mayur Thakur,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAB-NioBq9ILD0Jmj1g-fMmy8yGD0bflqUA,NAME_SEARCH,pZyJ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mitul Patel,Executive Director,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAuf0LwBheHU3YVGpDde5RbhY7mq9JIrVmQ,NAME_SEARCH,Vv6U?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Yoav Nathaniel,Cloud Security Architect,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABSNPLABJDf2ivCdHwusT_Bu6-MhJKy_4vs,NAME_SEARCH,MH4S?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Desi Ivanova,"Systematic Trading Strategies, Associate","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAyO2lwBkqTmMOxUesNE3l1V2RZwVDXfWPE,NAME_SEARCH,oa05?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
susie scher,Partner,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABLhm64BHuRuoS-u5pv6tjs_sWUiwzHd_bQ,NAME_SEARCH,3izD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Naga Parvatharajan,Co-Head of Product; Head of Strategy and Partnerships,"San Francisco, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABG1HsBRbkWRAfNt5vtoHoC41YLHnOPsGc,NAME_SEARCH,S2O9?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Medi Ashraphijuo, PhD, CFA, FRM",Vice President & Executive Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAqUbC0B_4fWm2IwhW8ajDjJtxnagD46bq4,NAME_SEARCH,7KFe?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ramesh Kamath,Managing Director,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADLHbsBGatmNgsPAVdW-kEoA-mkAi-MBAU,NAME_SEARCH,Od3h?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Rob Alexander Elwell,Co-Head of Marquee Product,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAG3xe0BKSKWBc8r2uF-8pMF0w8CPhWf6s0,NAME_SEARCH,Ms2h?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Christopher King,"Vice President, Renewable Power Group","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAVoVm8BJYKnffj7J4aAqC0RbcuLmREDWkY,NAME_SEARCH,TVZ4?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alex Harman,Co-Head of EMEA Electronic Trading,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAC6hkkBTNFc3LijJvqsK1QiK1bcVD9pKII,NAME_SEARCH,nyxS?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Hamza Ateeque, CFA, ACA",Associate,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAul9vkBa5CzN3RW5DXVO7dtZFrcQJxBPBw,NAME_SEARCH,2Vr8?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Muhammad Usman,AWS Cloud Architect,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEHaG8BZhGaAn7687nqCiHZ1-gYplmKDYw,NAME_SEARCH,bBUx?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Eduardo V.,"Managing Director, Global Head of Product & Sales - Transaction Banking",San Francisco Bay Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFcumUBV-KM9cPb-kIgvW1zPqIFK2gRnTk,NAME_SEARCH,Z1K7?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
David Goldman,Executive Director - Technology,"Dallas, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABPnlMBcrmdQTSdjOWOFkXvgPxarvecnPM,NAME_SEARCH,Yp6x?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Katherine Alexakis,"Managing Director, Global Investment Research","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAxTbKQBJb_fwV-Jhv04rH_puYoTZuzI4uk,NAME_SEARCH,RIc-?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Stephanie Tan,CISO of Marcus by Goldman Sachs,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGZOYkBhhdpHsHCQtKaaP5zc4UjW6gqPUQ,NAME_SEARCH,rNoD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Anuj Vohra,Head - Campus Recruiting,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAGcgnsBH1AYGlAzomDNRolga8FiAsfegy8,NAME_SEARCH,MgCa?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Neema Raphael,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABArSBIBtRW3zfL2pOZwlVN5_sJG89hs11c,NAME_SEARCH,z0Cl?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Shubha Iyer,Managing Director,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAFiQABrUMYxviP_zTIzUydPzHfta_FAIw,NAME_SEARCH,LuxH?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Archana Tayade,Managing Director,"Bengaluru, Karnataka, India",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAKQ4EABOLgeDBTFBnMhI8WocaAlhug61W8,NAME_SEARCH,J173?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tuvia Borok,Executive Director & Senior Counsel - Legal Dept,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADGBTEB8Gcy2l_YDVf5gBiMMJ_zHYFjyfg,NAME_SEARCH,eIHe?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Arnold Fomété,UK & Irish Institutional Sales - Analyst,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAwuQagBCrbPyDt4OAjmmcSN41Oyfwtudmo,NAME_SEARCH,NHkw?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mandy Scullion,"Executive Director, Lead Information Security Officer, Technology Risk, Marcus UK","London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAQfp1sBjVS_dRUmsWEI-NBunhNeh0oiIDY,NAME_SEARCH,ln62?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Piotr Zurawski,Managing Director - Exotics Trading,"London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAALkyABElIVr2jdRHQw8E5WlsIIIjUh8Cs,NAME_SEARCH,rdZ0?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Frederick Baba,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAeC78cBUEZgdY8p2PAaxVT2cBJ4UxtEVOo,NAME_SEARCH,f1EP?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
James Brodie,Executive Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAM_lg4BJ3IyQxZ4Kf-ep0mYxSyvXuOeyBg,NAME_SEARCH,0Sxt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Richard Rivero,Managing Director,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAMKDykBA4X7SUrhVhmgGIsWJMTRz56hb5I,NAME_SEARCH,7sAR?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Pierre Hudry,Partner,France,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABg7294B0NKRh8g0XKb_ZMiTygJ8qpaDMl4,NAME_SEARCH,9ZSu?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Pierre Benichou,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAjINxQBcsnICEsahdR64eF55tkTKDA2r8g,NAME_SEARCH,0KdL?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Roy Golender,"Executive Director - Commodity Sales & Origination - Energy, Petrochemical, Pulp & Paper",United Kingdom,GS,"https://www.linkedin.com/sales/people/ACwAAABzb-IB8RVbMDbEnTIVnB7V_lH8ey3z0aQ,NAME_SEARCH,24hn?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Brina Nash,Head of Customer Relationship Management (CRM),New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAALvjlkBN9gX3MXywL4kTkgCIdY6OayIQ2M,NAME_SEARCH,WD27?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Alex Radu,"Executive Director, Special Situations Group","London, England Metropolitan Area",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAASTl9cBGa6WQpk0N1wsYOhdXqw1dtu_zv4,NAME_SEARCH,221L?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Dianne Rivera,"Vice President, Diversity Recruiting, Strategy and Management",Salt Lake City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAD_-94BvnxNkRnzwhTizkBGR57MAXE0MHw,NAME_SEARCH,RYpP?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Chiranjib Gupta,Head of Decision Science for Personal Loan,"New York, New York, United States",Marcus by Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABl5MkBfnkJTq_wDo1gJeHyWHmtQ2EEiWE,NAME_SEARCH,t7OD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Justin Schmidt,"Head of Digital Asset Markets, VP","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAABoJm4BYv35h0d_AE5tt4WKcy8UOug-pQ4,NAME_SEARCH,bXJb?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Raffaele Magliocca,Investment Banking Associate,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAvZGoUBv_mUNVjUQowkztp-wmcdlH3OZRk,NAME_SEARCH,QcEt?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Erdit Hoxha,Partner,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAqYiwsBp-tifBjjL0hiwWAo9D572YSvL78,NAME_SEARCH,nKzY?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Tomer Gold,Investment Banking Associate,Israel,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABZxGxsBuTA0llVpZqSWxtAAizlNC2RwTHM,NAME_SEARCH,bxe0?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Drew LoPiano,Experienced Hire Strats/Engineering Recruiter,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAPXBxkBcwoWprHbcpp1SjnI2rpo2Y2VDQw,NAME_SEARCH,rnkJ?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Lucia Catalan,Head of Iberia & Latin America Third Party Distribution,"London, England Metropolitan Area",Goldman Sachs Asset Management,"https://www.linkedin.com/sales/people/ACwAAAGXlZQBtdYjtRJOHveMmF21qEft8sTBRvk,NAME_SEARCH,ppb7?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Philipp de la Chevallerie,Managing Director,"Frankfurt, Hesse, Germany",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAFMc9oBc0UPKwmY1Qs-UxflcWQ60Me2QQ4,NAME_SEARCH,WVK3?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
"Arianna Roccia, CFA",Associate,United States,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABPy7HUBajadB_NJ5r7ASd6gIIQO_GqWmRo,NAME_SEARCH,QDHm?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
John Goldstein,Managing Director,"Berkeley, California, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAEGVQBSkS8qi4VYVeQnwklj0k0yUrHnDQ,NAME_SEARCH,vPcV?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Mark Smith,"Head Of Global Liquidity, Transaction Banking","New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAA2Ii_wBowW3thpBVJAvLqRfpHYGVrEDtRo,NAME_SEARCH,mw1b?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Matt Wardrop,"Senior Associate, Merchant Banking Division - Real Estate Investing",New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAACUnS0BHFy-GPmGcA4xFgXBhOCeoSltbDw,NAME_SEARCH,v8dD?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
David Stark,Partner,New York City Metropolitan Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABJgpl4BSrxCAPSILY4PFz4QVA1NPmxkvJU,NAME_SEARCH,Ajky?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Adam Sale,Head of Engineering Recruiting,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAADaN84BdHiMqB9tVtMkAzqVDqGkzwA-9l4,NAME_SEARCH,KM4j?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Jay Drain Jr.,Global Markets Analyst,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABSROQwBA9d4_WehPUyE_IcklFy1LqzlS6s,NAME_SEARCH,w_7z?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Ryan Tick,Cloud Security Architect,"Dallas, Texas, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABcdVRABc4NbzLO7Kqr9jdZLF5o-LE28VjE,NAME_SEARCH,mwzN?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Cynthia Xin,Software Engineer,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABgZIKMB0kQe2kmUgA8mgPR8-9WxyVvF9QQ,NAME_SEARCH,f1SV?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Larry Restieri,Chief Executive Officer,"Greenwich, Connecticut, United States","Ayco, a Goldman Sachs Company","https://www.linkedin.com/sales/people/ACwAAARNvxoBaqZT77K-7l9jPCEYEjwaIHgXQdc,NAME_SEARCH,8f9l?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Kaustubh Joshi,Vice President,United Kingdom,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAEOaHkB_xsvEKm0gKFa4mBX0IlJqDAxIwU,NAME_SEARCH,a6Ow?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Taylor Auman,Investment Banking Analyst,"Philadelphia, Pennsylvania, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAABg58BABGVAIfN6TF0SMfevJNePTBLW27XQ,NAME_SEARCH,SbF6?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Des McDaid,Managing Director,"London, England, United Kingdom",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAA9f_kBOxzClFDZLDdbLelkGLrgx2EgSFc,NAME_SEARCH,aOYM?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Harry Labana,Managing Director,San Francisco Bay Area,Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAAdPecB79tHbc4YcLw_MohDm6ESAWRU2EA,NAME_SEARCH,txY1?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
Eric Stern,Managing Director,"New York, New York, United States",Goldman Sachs,"https://www.linkedin.com/sales/people/ACwAAAZmxZABLDbRGsN68iU5ffw6vhm4615mbCM,NAME_SEARCH,qnip?_ntb=fewKbqquRsOWCbPOwm6nvg%3D%3D"
